Calendar_Date,ID,Track_Direction,Line,Branch,Track_Name,Location_Description,Loc_GTFS_Stop_ID,Location_Type,Direction_Sort,Restriction_Status,Date_Restriction_Reported,Date_Restriction_Cleared,Restriction_Speed_MPH,Restriction_Reason,Restriction_Distance_Feet,Restriction_Distance_Miles,Line_Restricted_Track_Pct,Line_Total_Track_Miles,Systemwide_Restricted_Track_Pct,Systemwide_Total_Track_Miles,SR_Restriction_Distance_Span,Restriction_Path,Restriction_Days_Active_On_Calendar_Day,Restriction_Days_to_Clear,Daily_Restriction_Count_Start,Month_Restriction_Count_Start,Restriction_Count_New,Restriction_Count_Cleared,Month_Restriction_Count_End,Daily_Restriction_Count_End
1/6/25,000177R,NB,Red Line,Red Line - Ashmont,RL JFK-Ashmont NB,NB Ashmont Station,place-asmnl,Station,RANB-01,Restriction Opened/Cleared,1/6/25,1/6/25,10 mph,Track,300,0.056818182,0.001198443,47.41,4.16E-04,136.42,Multi-Segment,Start,0,0,0,0,1,-1,0,0
1/15/25,000156G,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,WB Kenmore to St. Mary's St,place-kencl | place-smary,Between Stations,GCWB-02,Restriction Cleared,1/13/25,1/15/25,20 mph,Track,150,0.028409091,5.26E-04,53.99,2.08E-04,136.42,Single Segment,Start|End,2,2,1,0,0,-1,0,0
1/13/25,000154G,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Packard's Corner to Harvard Ave,place-brico | place-harvd,Between Stations,GBWB-14,Restriction Cleared,1/12/25,1/13/25,20 mph,Track,200,0.037878788,7.02E-04,53.99,2.78E-04,136.42,Single Segment,Start|End,1,1,1,0,0,-1,0,0
1/13/25,000156G,WB,Green Line,Green Line - C,GL Kenmore-Cleveland Cir. WB,WB Kenmore to St. Mary's St,place-kencl | place-smary,Between Stations,GCWB-02,Restriction Opened,1/13/25,,20 mph,Track,150,0.028409091,5.26E-04,53.99,2.08E-04,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
1/12/25,000154G,WB,Green Line,Green Line - B,GL Kenmore-Boston Col. WB,WB Packard's Corner to Harvard Ave,place-brico | place-harvd,Between Stations,GBWB-14,Restriction Opened,1/12/25,,20 mph,Track,200,0.037878788,7.02E-04,53.99,2.78E-04,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
1/25/25,000179R,NB,Red Line,Red Line - Ashmont,RL JFK-Ashmont NB,NB Ashmont to Shawmut,place-asmnl | place-smmnl,Between Stations,RANB-02,Active Restriction,1/24/25,,25 mph,Track,69,0.013068182,2.76E-04,47.41,9.58E-05,136.42,Single Segment,Start|End,1,,1,0,0,0,0,1
1/3/25,000176R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Restriction Cleared,1/2/25,1/3/25,10 mph,Track,300,0.056818182,0.001198443,47.41,4.16E-04,136.42,Single Segment,Start|End,1,1,1,0,0,-1,0,0
1/26/25,000179R,NB,Red Line,Red Line - Ashmont,RL JFK-Ashmont NB,NB Ashmont to Shawmut,place-asmnl | place-smmnl,Between Stations,RANB-02,Restriction Cleared,1/24/25,1/26/25,25 mph,Track,69,0.013068182,2.76E-04,47.41,9.58E-05,136.42,Single Segment,Start|End,2,2,1,0,0,-1,0,0
1/2/25,000176R,NB,Red Line,Red Line - Braintree,RL Alewife-Braintree NB,NB North Quincy to JFK,place-nqncy | place-jfk,Between Stations,RBNB-10,Restriction Opened,1/2/25,,10 mph,Track,300,0.056818182,0.001198443,47.41,4.16E-04,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
1/24/25,000179R,NB,Red Line,Red Line - Ashmont,RL JFK-Ashmont NB,NB Ashmont to Shawmut,place-asmnl | place-smmnl,Between Stations,RANB-02,Restriction Opened,1/24/25,,25 mph,Track,69,0.013068182,2.76E-04,47.41,9.58E-05,136.42,Single Segment,Start|End,0,,0,0,1,0,0,1
